taxon,x,y,r,s,a
Anomalopus leuckartii,150.358182479734,-27.7181317340925,-1.29729045060896,9.87212183427672,3.55034786147069
Anomalopus mackayi,148.865102749965,-29.2554921853384,15.3216105830902,3.86632482096733,1.66330909463357
Anomalopus swansoni,151.140674494963,-32.7100693707234,-3.64169559628305,3.06838945782172,1.00415268483311
Anomalopus verreauxii,150.642788373864,-25.9706231747238,-5.84055131624186,10.9909028994952,2.95972042076591
Calyptotis lepidorostrum,151.229646311705,-24.337511877176,-14.5712896679147,19.6358420503585,0.704319556286419
Calyptotis ruficauda,152.498041803602,-30.7500537123432,4.76242224914998,15.2634863341768,0.572375060113641
Calyptotis scutirostrum,151.902217786718,-26.7045337241424,-4.77625049631243,11.8380225240143,2.37026039136456
Calyptotis temporalis,150.050951342381,-22.5720236771902,-16.9039386186214,19.5825080143888,-0.451439705888213
Coeranoscincus frontalis,145.732381151254,-17.662721102917,-6.40876099074643,19.7374503833546,-0.439807781687334
Coeranoscincus reticulatus,152.783369700577,-27.8799099381968,0.2439842229275,15.5363395202628,0.602514937182996
Coggeria naufragus,153.111296532101,-25.3626777017124,6.40200648187393,16.1344327579083,-3.91354986407678
Concinnia brachysoma,147.410440958354,-21.4752119651063,-8.90955306298645,12.0170666222288,3.05642947624497
Concinnia frerei,145.435216167754,-16.7736053246587,-17.4114238089626,28.3256949375524,-3.84085375835935
Concinnia martini,150.967848348111,-26.2455093797924,-5.29949519488925,11.4802986591692,2.95976541207965
Concinnia sokosoma,147.796095242051,-22.3325439560886,-6.89162585386206,8.6052098873727,2.89475460255549
Concinnia tenuis,150.319207546876,-27.5636257921521,-3.44032853012586,14.5058820908336,3.76493568451106
Ctenotus agrestis,143.422486598569,-22.278835050304,-8.68077022859217,7.70057226632426,1.66679889863083
Ctenotus alacer,133.790898977343,-22.9796152079628,9.3174915422337,0.162123278030734,3.98400154894601
Ctenotus alleni,114.743041452849,-27.3833436726993,-9.27663693364657,15.225947282221,-0.687398312207787
Ctenotus allotropis,147.701428086002,-28.5248521023221,1.02478444689443,10.887410517595,3.48140476800356
Ctenotus angusticeps,119.35866406608,-19.9402861297484,26.6966984055215,11.5059127927797,0.345841358970146
Ctenotus arcanus,151.956242638823,-26.5689815621053,-5.60257190228456,8.17798461520256,2.56656970921265
Ctenotus ariadnae,128.272033053276,-25.1743254455907,-15.8965689616181,0.773071978270174,3.86896977620519
Ctenotus arnhemensis,132.344352332183,-12.6502527767609,8.21272805733629,1.58591129723894,-0.212685317594231
Ctenotus astarte,140.677189656853,-24.8702615568067,-2.32940317240261,4.15797775435207,3.00258701906964
Ctenotus atlas,129.56580499866,-30.7421885391853,-19.1353786623999,3.92742139080688,4.11274342240378
Ctenotus australis,115.603351771881,-31.3057921158799,-6.814131831325,21.8663390056044,1.32277341494751
Ctenotus brooksi,126.489917674502,-25.084645158667,-4.42163327925421,0.960120266229499,5.32345028414549
Ctenotus burbidgei,125.840062590754,-15.4985437305698,5.25563016351298,6.06291970803818,1.54066352000752
Ctenotus calurus,127.109608332628,-24.7743587633868,8.37600221849923,0.589761309916435,4.84277785730846
Ctenotus catenifer,118.13105993537,-33.3444295403207,-11.3295789892473,1.56559676048193,2.80113349430829
Ctenotus coggeri,133.198340146105,-13.1496903028537,4.45709829021637,5.66717276110679,1.45318746124154
Ctenotus colletti,123.301889334278,-17.682149249675,7.31398505067947,6.13028066137394,1.041921411569
Ctenotus decaneurus,132.035828972455,-16.5865316076635,-13.3103711943548,5.47461839807699,4.28228132315978
Ctenotus delli,116.225180564284,-32.7028810068527,1.90296300536028,13.3642697637487,0.024680185475092
Ctenotus duricola,118.081590818313,-22.0684522350115,10.9270398911394,1.49939122082586,2.6444409461005
Ctenotus dux,128.791650164434,-25.2206387047805,12.8368348724725,0.385652029691855,4.13855095287412
Ctenotus ehmanni,126.108798337942,-15.8734474117317,2.20484335251379,6.20321572801081,1.82035707614209
Ctenotus essingtonii,133.464081847133,-13.5448785030656,-8.01766422998069,1.91511043666123,2.98927833693486
Ctenotus euclae,131.885451107511,-31.5770884678646,-15.7618977263184,2.54176611496624,2.8790860453738
Ctenotus eurydice,151.78564164121,-27.7693463718483,-1.9397416773776,12.923566998787,1.96889000019475
Ctenotus eutaenius,145.182762209206,-18.9580010625389,-2.1913634863718,7.50546270474756,2.17322756670063
Ctenotus gagudju,132.853823444214,-12.3846123985961,3.35717403479728,6.47374276362326,-0.97270167409135
Ctenotus gemmula,119.510346744937,-33.0977272586607,-15.2005293688967,0.393193243924163,2.53286945371523
Ctenotus grandis,125.440761771787,-23.2452880020503,8.19472280110792,0.801386497605502,4.86601912119986
Ctenotus greeri,130.758563545303,-22.842557613551,8.26501461835656,7.68794092470542,4.27687424751832
Ctenotus hanloni,123.410831820878,-23.9137540509537,10.1949402384794,0.723612327993701,4.59183494501539
Ctenotus hebetior,142.593894140148,-22.0848674913758,-3.06436685069994,3.03888123429262,4.19252982276606
Ctenotus hilli,131.922326033085,-12.8788224105575,-1.92070348449602,2.71922363214364,2.39149464109199
Ctenotus iapetus,114.830452756859,-23.2366534504494,3.82900314814514,5.09479076889518,1.9127930655763
Ctenotus impar,118.809796621356,-32.369567165559,-10.2796871740984,2.40705266269346,3.25840445053047
Ctenotus ingrami,147.543672134578,-26.2139220290528,-1.93712826315828,7.3171806592411,3.65742356349193
Ctenotus inornatus,129.684488931242,-23.3239126398945,-8.23707000490844,0.0944032051576434,6.13378818183895
Ctenotus joanae,138.972655775561,-22.5103309175906,-7.40231841005674,9.78679479199178,3.61810547962867
Ctenotus kurnbudj,132.009431480063,-12.5395679804072,-10.718371243695,2.44130430591082,-1.68621064026248
Ctenotus labillardieri,118.005344099167,-33.5265292265747,-12.5678154458174,1.27668776163616,2.6976747067623
Ctenotus lancelini,115.332449387176,-31.0089680080253,-4.91873151423152,8.79215980770521,-6.97120876808366
Ctenotus lateralis,140.881896035601,-21.5873067290248,-4.10163677144383,4.33978822809804,4.05973530159059
Ctenotus leae,130.912224403131,-26.8239070972976,-11.3573382006376,1.43941088322728,4.80618042946514
Ctenotus leonhardii,131.963217564169,-24.7279832746255,-10.7905272669438,0.258027491850921,5.71438972251951
Ctenotus maryani,116.320032878678,-22.7284768084536,11.9350327898066,7.87806241819588,2.53851246953071
Ctenotus mastigura,126.099324242764,-14.8414922388901,5.74083223646215,1.91922987122137,-0.415872340687673
Ctenotus mesotes,126.571108311343,-14.1664990096881,-6.96161440486016,0.409212675984181,-1.66694129994326
Ctenotus militaris,129.839942384209,-16.3779738761607,14.3095983982076,4.48566187951756,2.58366158462254
Ctenotus mimetes,117.103936096205,-28.6787561841282,-9.51140801120776,8.86304850923031,2.28252863424917
Ctenotus nasutus,126.147589487397,-23.8256476822377,7.30325855342325,0.881922686627118,4.40901395808337
Ctenotus nigrilineatus,119.265040896157,-21.5754662593784,10.8329727676942,6.17906748370513,0.53400871700252
Ctenotus nullum,144.751760812318,-15.4205536536377,6.08405076343738,5.33610586829976,0.13659205245322
Ctenotus olympicus,138.881334444175,-30.070001994409,-7.07006249613094,5.63709258519801,4.03460028683926
Ctenotus orientalis,138.300666504393,-32.2555083840517,-12.4930649577998,3.1301776446473,4.84928081679839
Ctenotus pantherinus,130.780416584691,-24.1119686756655,9.72459911400698,0.31296770728193,5.94355048490539
Ctenotus piankai,128.147651658241,-22.3106571730931,7.27180430263539,0.912126008889799,5.15898044335617
Ctenotus pulchellus,137.544904252488,-19.4848048448563,-12.7253124280716,8.78963934371358,2.93014468556808
Ctenotus quattuordecimlineatus,126.955827471276,-24.716077962659,7.07331121238777,0.00474498583361311,5.07861658852617
Ctenotus quinkan,144.570154596997,-15.6327800743938,9.86373673755445,6.58477959986747,-1.11502133020086
Ctenotus quirinus,134.314115732913,-13.414221116512,11.1217961374956,4.59476434687552,1.69789360987007
Ctenotus rawlinsoni,145.197772123959,-15.0871083096507,-1.10039554739276,10.8095544025009,-2.7022310107145
Ctenotus regius,138.47671051593,-28.8947653881379,-9.30282209468793,2.34255208856269,4.89840359770041
Ctenotus rimacolus,130.062916131374,-16.5693731949843,-5.36898489383105,0.907994393900689,2.33834181163369
Ctenotus robustus,141.597796160217,-25.4542881482859,-5.61126946289171,6.32638013713098,6.3152062226635
Ctenotus rosarium,145.356381379319,-21.5269769184507,-6.78170387896553,16.8662659382717,-0.484944423224172
Ctenotus rubicundus,118.086143883099,-22.4374422467289,5.71282883765052,1.57075495074878,2.93935124876143
Ctenotus rufescens,115.882468688323,-21.8067518981344,16.0510211572698,9.39775185052691,1.03673829368025
Ctenotus rutilans,118.170311422522,-22.7902627549844,11.1896807385296,4.13892650248892,1.93197682313959
Ctenotus schevilli,143.940418901683,-21.7476798899658,-6.9582276906212,7.29641372276878,1.3179109353159
Ctenotus schomburgkii,130.506617000995,-26.6870191520973,11.3794399977074,0.0236410975514031,5.6389412961643
Ctenotus septenarius,136.406016334455,-24.6414433730027,11.0854291826082,2.73283094787179,3.79016216744751
Ctenotus serventyi,121.598752138412,-20.2679081434423,10.85512860336,6.36487464618093,3.13815488189042
Ctenotus spaldingi,143.531829134827,-25.5220268357446,-4.13078264562011,7.86939281405428,5.98826662378924
Ctenotus storri,132.29009903212,-13.9646666505938,-4.18147977526344,6.74784508593692,2.26613873733221
Ctenotus strauchii,141.827037733233,-26.2518248535438,-5.69507010929651,2.12736211272451,5.66226597535795
Ctenotus striaticeps,137.610156480408,-17.6801309733241,-10.9335893915349,12.4252203863384,1.68697027773928
Ctenotus stuarti,132.060105356262,-12.642440881743,9.48909750908687,0.564981032299298,-1.16681906792672
Ctenotus superciliaris,127.451221822912,-17.7226234974982,15.0674123438476,6.32065870463801,4.04774556852739
Ctenotus taeniatus,138.231086914384,-28.5264165551052,-3.67110594864791,7.76037483154901,4.30289910863892
Ctenotus taeniolatus,147.979245578457,-27.2820132728786,-2.15432855235578,9.20956392877364,5.10527510089695
Ctenotus tanamiensis,129.973450090192,-21.4755594930407,3.53181580462442,4.19175604427473,3.90095648231105
Ctenotus tantillus,128.398427289911,-15.7479108087839,15.1280428604011,4.67874357151192,1.67003803144931
Ctenotus terrareginae,146.162627107226,-18.8582315809115,-2.61609039668963,8.93756337269434,-0.884179807190149
Ctenotus uber,119.982447338114,-25.9653533482993,-1.8454478150352,2.92413125480327,4.94395346186008
Ctenotus vertebralis,133.78417866642,-13.6749164499614,-6.71169019540408,1.05291819698621,2.94433280679008
Ctenotus xenopleura,120.203493247889,-30.791201524268,-1.36028561763007,8.20625860025634,0.90509659886866
Ctenotus youngsoni,113.414368311351,-26.3015415286757,-12.9021637796905,16.2213000539845,-1.95345381137289
Ctenotus zastictus,114.227672987009,-26.5156528368296,1.87465196044571,2.75552743899683,-4.30292552507691
Ctenotus zebrilla,143.935254198774,-18.4123609493161,1.06053318336052,8.92501068635988,1.91056912499029
Eremiascincus douglasi,132.717435499131,-13.3127419447614,10.8445875184823,2.75973645540414,2.65663539249491
Eremiascincus fasciolatus,148.138784797525,-23.4392076161045,-10.4531995884312,10.1132782177341,2.9273213664793
Eremiascincus isolepis,131.148304314696,-17.4207995209984,15.034591336043,1.70604402319935,4.62095779222832
Eremiascincus pallidus,123.210282879814,-24.825097695672,-7.85800446367374,0.131202623098794,5.08627447039455
Eremiascincus pardalis,143.336312932953,-15.3876850882129,-3.81484641484186,9.57087137662372,2.74086833733334
Eremiascincus richardsonii,132.18174984933,-26.1180035716811,-11.7417268308596,1.36472490593163,5.77354768906782
Eulamprus heatwolei,148.588769712669,-34.7803536265349,9.58472026767686,8.49958405719253,3.42067315804092
Eulamprus kosciuskoi,150.868228737866,-32.2699340550671,16.3415968984329,25.3938842280014,0.582324632294312
Eulamprus leuraensis,150.284828747383,-33.5419391829286,-5.2484558588652,9.62457860131398,-2.49437776217849
Eulamprus quoyii,148.049514480074,-29.6373155872985,2.71561479890848,6.80750459083147,5.28252784920525
Eulamprus tympanum,146.188918710857,-36.7320388932714,13.7417875043536,4.28177115245297,2.92384250309096
Glaphyromorphus cracens,145.006768963961,-17.7943463049199,-2.35900186592572,9.01965992847582,1.1770208851128
Glaphyromorphus darwiniensis,132.220388141451,-13.0263858113446,10.5785923417352,3.29136690063591,2.367735087812
Glaphyromorphus fuscicaudis,145.731607082741,-17.5585578184093,-7.15154223030965,22.1552666732306,-0.787312169539586
Glaphyromorphus mjobergi,145.554430425664,-17.219469875759,-6.43015163493566,17.3708807249656,-0.911909209278645
Glaphyromorphus nigricaudis,142.427845424536,-12.1372279002887,-2.06020550366756,6.03097895382273,4.75320681924143
Glaphyromorphus pumilus,143.642110412703,-14.6436946166644,-8.48796650786753,14.1273624659308,1.70424426931124
Glaphyromorphus punctulatus,148.064212472422,-21.9209779313243,-9.07535831088865,8.73636973290337,2.43248316110505
Hemiergis decresiensis,139.597750409574,-33.995159105165,-5.52612021841165,7.25249343978477,3.13221837641314
Hemiergis gracilipes,116.308631273782,-34.0870647185637,-7.70568937320767,6.01361617273907,1.38258978150622
Hemiergis initialis,122.699354001717,-32.2215056195728,19.7596606962391,0.653888257902152,3.05259614397816
Hemiergis millewae,135.874199095781,-32.2041135640216,-16.7782024214084,1.71241977373253,3.28517165959787
Hemiergis peronii,129.307321656599,-33.4417661379576,-22.9852993079886,2.40025819802097,3.73744907607104
Hemiergis talbingoensis,149.569192992501,-33.4620491281645,8.81468248148186,14.260902081779,2.55633396785693
Lerista aericeps,137.139687860106,-25.7802140662966,-7.93385099951456,11.0508926541621,3.56905279927669
Lerista allanae,147.870179346398,-22.7403873765238,1.32593216327897,20.5731159842841,-4.06407917795519
Lerista allochira,113.889914308992,-22.2153013810603,7.97585032349008,19.609287529372,-4.6852781862788
Lerista ameles,144.383579484326,-18.0831220075003,-13.2071255764037,3.03620759460749,-2.87424003071178
Lerista apoda,122.224734246209,-17.3690459431306,9.91074828285404,13.8695911571024,-2.13983234534597
Lerista arenicola,131.213358487138,-32.1723445206764,-18.9053936667017,3.37958364180281,1.93759919136099
Lerista axillaris,114.397708482254,-27.9539317837791,-31.8893295934896,10.7377487957315,-5.78439596948169
Lerista baynesi,128.622543107054,-31.7304602794401,38.8530936910311,7.63445282982946,-3.23109387879416
Lerista bipes,131.727229091367,-23.8649183210909,-5.83986925793993,1.78229816900953,5.0661811122112
Lerista borealis,130.419576247932,-16.0943328825852,1.28335303898767,8.02634140144669,1.09122895463612
Lerista bougainvillii,143.851711663594,-34.6032283870888,-10.2489584751824,0.119493138240798,4.47185296685127
Lerista carpentariae,136.262533984034,-15.208331491271,4.02269416840901,10.4365849505661,0.956314064484771
Lerista chalybura,118.963329533013,-22.7634060774713,-12.2553552747024,5.65048109167999,-0.0836675013477308
Lerista chordae,145.340772859189,-21.7228187643716,-5.57960466900837,14.7328808799304,-1.08454701744816
Lerista christinae,115.823472036538,-30.6476865654709,-2.469427788568,10.0096604267233,0.170761688012126
Lerista cinerea,146.214695418362,-20.0736337357954,-7.20780056871182,1.2161866738411,-0.0465987301105937
Lerista colliveri,145.153559116164,-20.0683438678443,13.7990328466631,5.78508971754909,0.0525198002068014
Lerista connivens,114.288120839031,-25.5254319557287,-1.79582851253902,15.1407653269462,0.940331773912124
Lerista desertorum,130.149485400069,-27.0998635118267,12.1743706735954,0.390824493260303,4.48632027006247
Lerista distinguenda,120.465601544907,-32.3406358832415,-17.4321868004923,1.41389838883601,3.47385292549726
Lerista dorsalis,130.462890318472,-32.2515553629585,-19.7895538042997,0.975381312777574,3.45113989938776
Lerista edwardsae,135.239101680731,-32.2471000978634,-12.3513386506328,5.5306622129678,2.34093887899712
Lerista elegans,115.056535621332,-26.5487282784689,-1.62755856979947,18.788656132206,2.16922409447273
Lerista elongata,134.448138095808,-29.785640166751,7.95289352828838,5.35645022958375,2.17702029902651
Lerista emmotti,142.666207800814,-22.8766702066505,-0.781129423199967,5.89209580609691,3.25488726779267
Lerista eupoda,118.055523317509,-27.0200547993624,7.58853733065939,3.75069943719146,-0.968407169023787
Lerista flammicauda,117.948122991365,-22.3141664608475,10.2777336847058,0.971813551975745,1.67623831031545
Lerista fragilis,147.822811096319,-23.8549774654925,-10.2147249365079,6.6959158278075,3.78071048604301
Lerista frosti,133.155998995698,-23.4402469299262,8.48930030141857,2.0201695828325,1.63507956521805
Lerista gascoynensis,115.295974980208,-25.2568136619077,12.7234594846362,0.975984413768573,0.742908924229252
Lerista gerrardii,117.431996825224,-29.2867195020916,-4.92300678480935,3.82889093238857,2.91048587360035
Lerista greeri,127.095331919914,-17.4961820205919,8.94579761381258,1.6710314058006,2.87515408568773
Lerista griffini,129.66796829697,-16.0397790163341,21.7863724867019,4.70460268127211,2.36591193104614
Lerista haroldi,114.000952624556,-24.0863981865641,-1.6283602212908,6.04329419923899,0.169145932274093
