node,r,s,a,x,y,scenario_d,scenario_m,scenario_c,scenario_h,scenario_r,scenario_s,scenario_a,scenario_x,scenario_y,scenario_sample_size,scenario_freq,scenario_d_freq,scenario_m_freq,scenario_c_freq,scenario_h_freq,scenario_r_low,scenario_r_high,scenario_r_range,scenario_s_low,scenario_s_high,scenario_s_range,scenario_a_low,scenario_a_high,scenario_a_range,scenario_x_low,scenario_x_high,scenario_x_range,scenario_y_low,scenario_y_high,scenario_y_range,node_age,selection,true_x,true_y,true_angle,true_selection
219,-2.63759758624111,5.56428317032497,-2.46916552527659,127.793492158932,-23.2205671771823,1,1,3,0,-2.26503844630853,5.28036268173735,2.15507685587634,125.507553091467,-23.1944672478283,9785,0.0543608091066161,0.50139721445992,0.460658551896934,0.241926433742035,0.278604007755512,-8.091574,3.928374,12.019948,1.294973,9.096749,7.801776,-14.52749,7.474542,22.002032,118.0237,132.9889,14.9652,-26.35814,-19.54247,6.81567,35.976042324,0,0.993590839261514,-0.113036472590045,6.16990672414507,0
220,-2.37028057615758,5.10514437254204,1.49312311386398,126.374772443486,-23.6894692692818,0,0,3,5,-3.0024412861078,5.06257210700569,2.26407221888492,127.960925374123,-23.021257233479,7551,0.0419497669457392,0.584346753629146,0.492019488780618,0.274631807601069,0.248093066149633,-10.02905,2.972681,13.001731,1.948116,8.345634,6.397518,-0.6678894,4.376634,5.0445234,120.5616,135.0078,14.4462,-26.80583,-19.18491,7.62092,34.676046273,1,-0.647445870417363,-0.762111438622662,4.00816072051432,1
221,-1.88504181633358,4.77634996096683,0.942270760831884,125.780288860062,-24.847447840012,0,1,2,5,-3.14635842590957,3.75852145297872,2.25222520767021,126.058616223404,-24.4332398430851,3760,0.0208887728401509,0.558335787023405,0.464152976927906,0.245481969544614,0.177499013894367,-9.268439,8.878949,18.147388,-1.108947,7.874527,8.983474,-2.326857,4.712531,7.039388,117.9976,133.998,16.0004,-28.23752,-20.98894,7.24858,33.8526122746,1,-0.692036377965388,-0.72186262652429,3.94808272342,1
222,-0.790147441882323,4.1109434112681,1.28040173568865,124.973198982783,-27.2336245780857,1,0,3,5,0.0153324056482294,4.31186881678958,2.14309293362013,125.020684050337,-26.6745016213052,3417,0.0189832278709563,0.531680379553447,0.526785962300209,0.271487380625663,0.153915811578825,-7.0458,8.213241,15.259041,-0.9751136,17.15429,18.1294036,-2.222482,5.543478,7.76596,117.7837,131.7975,14.0138,-29.9395,-22.64928,7.29022,27.6832422116,1,-0.644676676205691,-0.764455350662406,4.0117887192284,1
223,-0.206843379869445,4.02665783153849,2.30184828941068,125.332670315165,-27.1857526214299,1,1,2,5,0.178910482900094,3.78476239733793,3.40914975947385,125.501680097087,-26.5934261525211,6386,0.0354775806801073,0.504513863811868,0.571624602085544,0.266109632724263,0.182393431147605,-9.390553,9.229226,18.619779,-5.018838,9.596568,14.615406,-1.227543,5.951917,7.17946,119.2915,132.3472,13.0557,-29.62249,-23.44515,6.17734,25.7200091956,1,-0.658811247898713,-0.752308274341138,3.99315145456371,1
224,0.830729761255937,3.42069482143805,0.742673362060916,128.539269757946,-25.1477541508103,0,0,0,3,2.39519793121403,1.96797641015547,0.890514781425736,128.345277571948,-25.2341279292094,3023,0.0167943511424937,0.486163965755746,0.527124849306393,0.275354025810968,0.143893645035305,-4.862486,9.806277,14.668763,-2.312138,7.516042,9.82818,-1.570796,5.664645,7.235441,122.8439,133.7377,10.8938,-28.06136,-22.59687,5.46449,21.3543472006,3,-0.713660216614377,0.700492037943274,2.36550593318094,3
225,1.08102455517707,3.57086028407387,2.03427379296927,128.679416889351,-24.9056212186043,0,0,2,1,0.726861943831007,4.59777830019104,3.98401301244673,127.028604996326,-25.7950452035268,6805,0.0378053455258582,0.615618802117766,0.459003005538858,0.315037138682563,0.220954328031511,-4.680559,6.59165,11.272209,2.376623,9.210737,6.834114,0.6910951,5.699111,5.0080159,122.2832,132.1421,9.85890000000001,-28.78858,-22.59744,6.19114,20.7374482162,1,0.640678173269804,0.767809532563686,0.875415129135412,1
226,1.70410209208925,3.88126592099162,4.09830338843123,129.655970449609,-23.000237784679,0,0,3,2,2.6957286485925,2.55287680159292,4.38190402373367,130.101253270122,-25.8875854820902,23730,0.131832600929995,0.570252387486736,0.498725007083294,0.38803673312926,0.323487091738379,0.5619254,7.060836,6.4989106,-0.363702,5.161256,5.524958,2.743015,5.128997,2.385982,126.0251,134.184,8.1589,-29.29883,-22.30183,6.997,19.824757228,2,0.0644735884210237,0.997919413778546,1.50627798684132,2
227,1.6738711324676,3.86531189851187,0.160721984051417,131.440601941656,-18.188766832462,1,1,1,4,0.562447996340127,3.43205223920666,1.84622568699496,131.073315099715,-18.4086862042516,4563,0.0253498591674491,0.523030427608736,0.490402831095383,0.248698618341009,0.193826700962772,-3.096557,3.350292,6.446849,0.1519058,7.999734,7.8478282,-5.542566,5.674055,11.216621,127.0162,135.2128,8.19659999999999,-22.47033,-14.87475,7.59558,19.73333319545,0,-0.999814911890357,-0.019239073825867,3.16083291447815,0
228,1.49454283314843,3.58777082205554,1.98794968290906,132.383487594513,-18.1034068057955,1,0,1,2,2.11499045495109,2.68274705557234,4.33000258201613,132.138428264973,-20.4417060048052,5827,0.0323720423775423,0.528958172454597,0.453241926433742,0.273309592724485,0.19134893695035,-0.5683904,5.215463,5.7838534,-1.401052,6.39563,7.796682,-0.8539012,7.522324,8.3762252,127.8707,136.137,8.2663,-26.09295,-16.60466,9.48829,19.02893112725,2,0.0528563852136138,0.998602124242759,1.51791529891528,2
229,1.5262535725086,3.97721112903551,3.51670396299493,133.26683483814,-19.3687577049016,1,1,0,1,1.59125272589772,3.68424223164278,4.22354442553152,134.418295139084,-18.5649741088321,10677,0.0593163371314604,0.579224559863556,0.665890745051416,0.222854317476014,0.263154093588369,-1.982605,6.105583,8.088188,-1.533859,8.984999,10.518858,1.569117,5.911672,4.342555,129.4768,139.0751,9.59829999999999,-21.72726,-15.75624,5.97102,18.25126740245,1,0.672048905748395,0.740506764508188,0.833824104383981,1
230,1.46433178138838,3.73922522861162,4.23087464724802,132.784964481864,-22.5356454379698,1,0,3,7,2.03448146401909,2.9017748323822,4.41150929881631,131.953787875527,-21.3209825242119,56687,0.314926028188732,0.975511247159738,0.59710779384559,0.476186243409759,0.729451503047205,-2.494257,7.718631,10.212888,-1.026299,5.855763,6.882062,3.103163,5.787812,2.684649,127.6694,136.4047,8.7353,-23.93991,-18.7985,5.14141,17.02633542045,3,0.69186992145228,-0.72202216848904,5.47646466976816,3
